Comment,Designator,Footprint,LCSC
POWER,SW1,SW_SPDT_PCM12,C319019
Battery_Cell,BT1,BatteryHolder_Keystone_1058_1x2032,C70377
10K,R1,R_0603_1608Metric,
ATtiny13A-SS,U1,SOIC-8_3.9x4.9mm_P1.27mm,
TestPoint,TP6,TestPoint_Pad_D1.0mm,
TestPoint,TP5,TestPoint_Pad_D1.0mm,
TestPoint,TP4,TestPoint_Pad_D1.0mm,
TestPoint,TP3,TestPoint_Pad_D1.0mm,
TestPoint,TP2,TestPoint_Pad_D1.0mm,
TestPoint,TP1,TestPoint_Pad_D1.0mm,
100nF,C4,C_0603_1608Metric,
10uF,C1,C_0603_1608Metric,
WS2812-2020,D2,ws2812-2020_reverse,
WS2812-2020,D1,ws2812-2020_reverse,
100nF,C2,C_0603_1608Metric,
